franchise,attendance
Arizona Diamondbacks,2453297.263157894737
Atlanta Braves,2622604.750000000000
Baltimore Orioles,2538401.100000000000
Boston Red Sox,2801986.400000000000
Chicago Cubs,2918848.600000000000
Chicago White Sox,1985398.100000000000
Cincinnati Reds,2124245.700000000000
Cleveland Indians,2209372.750000000000
Colorado Rockies,2787169.600000000000
Detroit Tigers,2336946.100000000000
Florida Marlins,1549250.450000000000
Houston Astros,2462489.250000000000
Kansas City Royals,1708741.850000000000
Los Angeles Angels of Anaheim,2886372.350000000000
Los Angeles Dodgers,3434337.600000000000
Milwaukee Brewers,2373031.800000000000
Minnesota Twins,2088008.500000000000
New York Mets,2679801.500000000000
New York Yankees,3519173.000000000000
Oakland Athletics,1750727.350000000000
Philadelphia Phillies,2556495.550000000000
Pittsburgh Pirates,1888968.850000000000
San Diego Padres,2370262.500000000000
San Francisco Giants,3029979.550000000000
Seattle Mariners,2568626.100000000000
St. Louis Cardinals,3263959.900000000000
Tampa Bay Rays,1487577.421052631579
Texas Rangers,2620260.500000000000
Toronto Blue Jays,2188088.850000000000
Washington Nationals,1739073.150000000000
